sample,factual_class,counterfactual_class,x,y,z,E4_BVP,E4_EDA,E4_HR,E4_IBI,E4_TEMP,Attention,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,Meditation
6483,3,2,0,1.6153561504734784e-05,2.241211467735942e-05,0,0,0.13240111578630498,0.2097275576238361,0,0,0,0,0.018858464455621907,0.008198333328040796,1.3343939943547218e-06,0,0,0.1354440179788935,0
3506,3,4,-9.120413015200822e-06,0,0.0879455962961292,0.006718552865321321,0.13769615344199773,0.10366225058508144,0.10851898790855347,0,1.7783109188171653e-05,0,1.4697722077932654e-05,0.006526774441125052,0.005863903312694529,4.648727658867972e-05,0.04520200004948607,0,0,0
43878,3,5,0,0,0.292711460603741,0,0,0.3014865016948082,0,0,0,0,0,0,0,0,0,0,0,0
22493,3,2,0,0,0,0,0,0,0.4324285999884334,0,0,0,0,0,0.037881445109194195,0,0,0,0,0
12185,3,5,0,0,0,0,0,0.5144430224085269,0,0,0,0,0,0,0,0,0,0,0,0
43717,3,5,0,0,0,0,0.22026093096483562,0.032258399433834885,0,0.2455863619239438,0,0,0,0,0.00015424568702659044,0.0014674122916011334,0,1.206580644027694e-05,0,0
3890,3,4,0,0,0.12240114259563693,0,0.12389506510383078,0.1092385894773312,0.12626082324572188,0,-4.9904355548230735e-06,0.015534997695745904,0,0.004637207937443603,0,2.948474152326803e-05,0,0,-3.410532383072097e-05,0
6390,3,2,1.112740431420596e-05,0,0,-3.983217444533984e-06,0,0.21206405645548748,0.1415114501653916,0.0701313803501307,0,0.029469252210109504,0,7.666010419288753e-05,0,0.040832828217060656,9.417102196510135e-05,0.04526356680494508,0,0
7128,3,2,0,0,0,0,0,0,0,0.23085554182325885,0,0,0,0,0,0.0067374824115848065,0.2636632552594288,0,0,0
22635,3,2,0.029761646670517616,0,0.09216447536904776,0,0,0.016879773266145037,0,0.08387135202693051,1.8350762509362717e-05,0.027782698082240837,0.12947718220343973,0.016167984513510692,0.07419875157216735,0.0018789424876797627,0.003236030053328953,0,0,7.785774335862414e-05
56410,3,4,0,0,4.660122403317894e-05,0,0,0,0,5.4064063278999976e-05,0,0.1798070561944468,0.05427301826433044,0.009673529760642747,0.019676691752691954,0.017594282415854076,0.2080278731571159,0,0,0
25476,2,1,0,0,0,0,0,0.4185944283892227,0,0,0,0,0,0.0017763192399240257,0,0,0.03758070238260217,0,0,0
37385,2,5,0,0,0,0,0.2333996359097405,-1.5356331337079494e-05,-2.090252889285232e-06,0.23430381243958212,0,0.001742291586853135,0,0,3.542448408570527e-05,5.3986142980534904e-05,-4.072322389654033e-06,0.0005405623132500149,0,0
28959,2,4,0,0,0,0,0,0.0269396787869882,0.4755318448786451,0,0,0,0,0,0,0,0,0,0,0
34166,2,3,0,0,0.09390271021507386,0,0,0,0,0,0,0,0,0,0.007665736786058838,0.39765856162787616,0.0008685552257926586,0,0,0
30109,2,4,0,0,0.21391342265804067,0,0,0,0,0,0,0,0,0.27696298725897583,0,0,0.009017992932787341,0,0.00013153275810212195,0
34112,2,4,0,0,0,0,0,0,0,0,0,0,0.018287248848552422,0.00013935988434841026,0,0.0011618494840880355,0.4806105253031171,0,0,0
59045,2,4,0.08722412190932677,0.1365870561815351,0,1.9360281873021308e-06,0.21246260273383774,0.21262811888257677,0.21130751006704812,0,-9.35654548336178e-06,0,0,-9.809749838049574e-06,0.003211868491352106,0,0,0,0.014332119097882005,-2.0518125879498357e-06
28536,2,4,0,0,0,0,0,0,0.5073021998670083,0,0,0.01621055968790326,0,0,0,0,0,0,0,0
35111,2,4,0,0,0.011257349446978392,0,0,0.46330960289413253,0,0,0,0.00028425630996103284,0,0.024593438388841093,0,0,0,0,0,0
40900,2,3,0.020506963789656864,0,0.08479118300198872,9.60148629637128e-06,0.10137496110278969,0.13991401756039024,0,0.13260737128540542,0.015012920629868901,0.00798814282047833,0,2.5773377761045395e-05,0,0,0.00048917779422253,0,0,3.5111219574181248e-06
40076,2,4,0,0,0,0,0.20195522322121173,0,0.2860082455655156,0,0,0,0,0,0,0,0,0.01436863488944094,0,0
40488,2,4,0,0,0,0,0.24174381221430252,0,0,0,2.3709648819312214e-05,0.0002540598284611519,1.0528642271692382e-05,0.2471469135866051,0,0,0.01192834514870298,4.812289674848651e-05,0,0
59431,2,4,0,0,0,0,0,0.49284933321769625,0,0,0,0,0,0,0,0,0,0,0,0
29352,2,3,0,0,0,0,0,0,4.498239551161791e-05,0.11261224307942294,0,0,0,0.18876011549539484,8.340285084064215e-05,0.19732819219747227,0,0.00028188200016771427,0.00016351735341063681,0
35701,2,4,0.023418513821208,0,0,0,9.04521365726244e-05,0.1823196215462065,0.1738414874046302,0.06771962700786027,0,0,0,3.0510655029728515e-05,0.0015492161359155193,4.016552958401715e-06,9.156751105694633e-05,0.0544073790750194,0,0
25711,2,1,0,0,0,0,0.08595209962389498,0.07716594225662936,0,0,0,0.082811147552319,2.483714096273913e-05,0.05713729918367094,0.0015332667479673052,0.062042542834265774,0.10876457716317552,0,0,0.032205988940225354
28438,2,4,0,0,0,0,0,0,0.4563332858751409,0,0,0.04096043770156707,0,0.0017795352624671332,0,0,0,0,0,0
29649,2,3,3.5342155239917355e-06,0,0,0,2.450917202281589e-05,0.02607091783030364,0,0.11344798075802796,0.09822838368334731,1.0704929150481633e-05,0.016449132436970326,0.0190546709585379,0.0007999817416959753,0.22440435783688395,0.00027570660314260836,0,1.8368242169057544e-05,0
23267,2,1,0.19598880878596042,0,0,0,0.2728471141286881,0,0,0.02293529087758619,0,0,0.0003592294353075256,0,0,0,0,0,0,0
28077,2,4,0,0,0,0,0.06883187837319513,0,0.4264575800368495,0,0,0,0,0,0,0,0.004992850336065036,0,0,0
54251,5,4,0,0,0,0,0,0,0,0.5756419162008483,0,0,0,0,0,0,0,0,0,0
52697,5,4,0,0,0,0,0.261315282062647,0,0.2271437762452001,0,0,0.011662870665408463,0,0,0,0,0,0,0,0
52292,5,2,0,0,0,0,0,0,0,0.4969075396157543,0,0,0,0,0,0,0,0,0,0
52507,5,4,0,0,0,0,8.44767541405856e-06,0.360642425965563,0.34920493318809986,1.9515114748791725e-05,0,0.0017798521389274556,0,0,2.8358044313147907e-05,0.022550803530044003,4.0807379965628166e-05,0,0,2.5066296685151192e-05
52768,5,3,0,0.03051276052632307,0,0,0,0.31413638863708127,0,0,0,1.7445813808885294e-05,0.008499390939418115,2.5843700477292127e-05,0.04040738150229966,0.02243524675913571,0.04928354208966408,0,0,3.147453115145964e-05
52877,5,2,0,7.282670161754433e-05,0,0,0,0.06604078480813023,0,0,0,0.0012083366357182903,0,1.0814436979317997e-05,0.3620683772264889,1.792640082386972e-05,0.006975813386217946,-1.1053508086663506e-05,0.06257513252481386,0
17710,5,3,0,0,0,0,0,0.576895737056585,0,0,0,0,0,0,0,0,0,0,0,0
54281,5,3,0,0,0.5074512768650759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52158,5,2,0,0,0,0,0,0,0,0.4152497871828717,0,0,0,0,0,0.0037194292468683623,0,0,0,0
17709,5,3,0,0,0,0,0,0.5664245339699573,0,0,0,0,0,0,0,0,0,0,0,0
19801,5,4,0,0,0,0,0,0.04572691769604017,0.032656312048429864,4.684997431410385e-05,0,2.4198866818817914e-05,0.020540138394511593,0.07198489192878668,0.15534002971995653,0.019199670336254568,0.16193717514334593,0,7.179491637643435e-06,0
17535,5,2,0,0,0,0,0,0.5607031314649501,0,0,0,0,0,0,0,0,0,0,0,0
17803,5,3,0,0,0,0,0,0.5608100737889591,0,0,0,0,0,0,0,0,0,0,0,0
19814,5,4,0,0,0,0,0,0.12176085121773769,0.15851536240843211,0.06440973037877344,0,1.8383434010619595e-05,0.0035216583626518677,0.02897098787500305,0.018317570179673764,7.403382756819857e-05,0.10357218844947164,0,3.361643493274375e-06,1.3579971491164526e-05
19394,5,4,1.484167891611996e-06,0,0,0,0,0.07695020099517047,0.08494831774359643,0.11790537478706106,0,3.2767107811879934e-05,0.00015263022510922388,0.02360760047206633,0.0512571227513677,0.01246923599823706,0.16791451438309077,0.0009277021635085666,0,0
17503,5,2,0,0,0,0,0,0.40068582560003235,0,0,0,0,0,0,0,0.0005819965758938849,0.005683275687636666,0,0,0
52702,5,4,0,0.04201683298858677,0,0,1.2054261706744056e-05,0.1787227302512002,0.17441202058337085,-3.354699349939257e-05,0,0.00010643479937250671,-1.0946880020805859e-05,1.2092023988837039e-05,2.84723776614843e-05,3.884194557045192e-05,3.488522967987056e-05,9.518231690229239e-07,0,0.11988518757708438
19472,5,4,0,0,0,0,0,0.11607226385934623,0.44131430824232015,0,0,0,0,0,0,0,0,0,0,0
52554,5,3,0,0.04570155619199132,0.06407862501369785,1.1214400033120436e-07,0.08466095214386997,0,0.06017588680515318,0,0,0.058350704056702986,2.4288551452223958e-05,1.017956517057104e-05,0.007319905724057129,0.10616172030656022,0.07561835446486592,0,0,0
53033,5,3,0,0,0,6.89306343505198e-06,0.08848486282382807,0.0005816157403507305,0.04755008360006194,0,-1.1072039491739528e-05,0.015973744801224002,0,3.201955288842719e-05,0.13908829358259248,0.08767466455829166,0.03698104486107181,0,0.10156011185325635,0
24349,1,3,0,0,0,0,0,0,0,0.12843867913148146,0,0.031637775118794904,0.12930547180813798,0.02404748175375402,0.01053931596688988,-0.00016299634143286906,0.12455615015354715,0.0010421919788073332,1.813973911135298e-05,0
25132,1,2,0,0,0,0,0.4862897819262656,0,0,0,0,0,0,0.0005917174348226934,0,0,0.0077972973883227315,0,0,0
23874,1,3,0,0,0,0,0.2661840346750875,0,0,0.14236152598962515,7.122845783927882e-06,0,0,0.0498254279261032,0.03457882599641746,0,0,0,0,0
25059,1,2,0,0,0,0,0.4617505875611081,0,0,0.03389618642939093,0,0,0,0.00024584164637428966,0,0,0,0,0,0
24309,1,4,0,0,0,0,0,0,0,0.035759674918291164,0,0,0,0,0.4642558339258267,0,0,0,0,0
25118,1,2,0,0,0,0,0.4458537594916723,0,0,0,0,0.041917212315327204,0,0.0002571229008670326,0,0,0.003660810276476509,0,0,0
24386,1,2,0,0,0,0,0,0.13967961874350512,0,0,0,0,0.3355340069208539,0,9.58323282420593e-05,0.00450723030374313,0,0,0,0
25130,1,2,0,0,0,0,0.48989351284350624,0,0,0,0,0,0,0.0004214693467060695,0,0,0.005045560939391279,0,0,0
24908,1,2,0,-1.1907609162459419e-05,0,0,2.1671238022519568e-05,1.857351585791166e-05,0,0.001903342821799618,2.26789564143503e-05,0.1475851106473692,0,0.15276519204096387,0.005186741196778813,-4.998431887152337e-05,0.19367957721260387,0,0,1.5239765803386864e-05
24676,1,2,0,0,0,0,0.19643294408393014,7.883770623241136e-05,0,0.2487458561724592,0,0,0.03564603159127709,0.00022074577922254432,4.048001932871559e-05,0.0021393791052328292,0.018652892068183134,0,0,4.7614930367353174e-05
23910,1,2,0,3.9081731180201935e-06,0,0,0.22270588188193496,0,2.1921857704375445e-05,4.4865205167615676e-05,0,0,0.0006782081173907197,0.018257321691873163,0.28170983184860193,0.010066050482623106,0.19990701220215942,0,0,0
23946,1,2,0,0,0,0,0.15052006772454987,0,0.011185468048955701,0.03316855601773748,0,0.010141982748416154,-6.547393637683933e-06,0.00915263013639753,0.18444116795305077,0.025191181562540937,2.2217356047759553e-06,0,0,0
25440,1,2,0,0,0,0,0,0.4480082534624421,0,0,0,0,0,0.00023224832561123676,0,0.0033576120794178953,0,0,0,0
24392,1,4,0,0,0,0,0,0,0,0.08311287985899286,0,0,0.31023830044092887,0,0,0,0,0,0,0
24765,1,2,4.0836411792854244e-05,0,0,0,0.019769275402255603,2.0595427166650713e-05,5.320968288484111e-06,7.48807443699223e-05,0,0.16438400155189842,0.0034705368540090447,0.10310322183927682,0.011361085482529815,0,0.19851949246224776,0,0.002191180985460909,1.6425787843293384e-05
24459,1,4,0,0,0,0,0,0.2166825861546931,0,0,0,0,0,0,0.29322771609965814,0,0,0,0,0
23584,1,3,0,0,0,0,0,0,0,0.39114207933085704,0,0,0,0,0,0,0,0,0,0
24888,1,2,0,0,0,0,0.00745120822103047,-1.9594954044106112e-05,-1.4515450962883713e-07,0.0011234555360090112,0,0.1495574053168591,0,0.16925696332381523,4.3502435475157715e-05,1.6440256576865377e-05,0.17307932484936256,0,1.4340629359779733e-05,1.4024953511447757e-05
24012,1,2,0,0,0,0,0.45789078519600745,0,0,0.031203534057399805,0,0,0,0,0,0,0,0,0,0
24041,1,2,0,0,0,0,0.28456707279534427,5.632895279569206e-05,0,0.1954749546907354,0,0,0,0.00016790168330733197,5.4458356830284395e-06,0.005521049435124348,0.006985667744469331,0,7.958469168919004e-05,0
55723,4,3,0,0,0,0,0.5540584220029711,0,0,0,0,0,0,0,0,0,0,0,0,0
47675,4,2,0,0.14301724709429314,0,0,0,0,0.3523856975557503,0,0,0.005562634878975813,0,0,0,0,0,0,0,0
45198,4,2,0,0,0,0,0.24108958734938013,0.25850971614715845,0,0,0,0,0,0,8.249893551214133e-05,0,0,0,0,0
46971,4,2,0,0,0,0,0.5070471238163322,0,0,0,0,0,0,0,0,0,0,0,0,0
1457,4,3,0,0,0,0,0.3560970666734813,0.019810819648921202,0,0,0,0,1.5062893609210645e-05,0.0016696955945246855,0,0,0,0,0,0
48041,4,2,0,0,0,0,0,0,0.6083447796561379,0,0,0,0,0,0,0,0,0,0,0
44673,4,3,0.2291901255261098,0,0,0,0,0,0.3181233997018452,0,0,7.571869749720378e-07,0,0,0,0,0,0,0,0
46243,4,2,0,0,0,0,0,0,0.6074374006733845,0,0,0,0,0,0,0,0,0,0,0
55924,4,3,0,0,0.5649906234444361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48406,4,2,0,0.12484086936868163,0,-4.8863181747155355e-06,0.21645907767283945,6.609399760821378e-07,0.23971217886576182,0,0,0,0,0,0,2.2329356487976318e-05,0,0,7.46721001941114e-06,0
7209,3,4,0,3.590674427315405e-06,0.07348196062070966,0,0.09540854329140143,0.09201020134131359,0.08750525878770393,1.1550895804868473e-05,0.04429910879556079,0.0036823183818332625,0,0.019124890751753398,1.0568836303747981e-05,8.263679560577818e-06,0.09415663654215259,0,2.5195019282924716e-05,5.336629053962626e-06
7227,3,4,7.636172370844792e-06,-1.996753291302769e-06,0.09740738203348517,0,0.11530912069753405,0.10656056612441225,0.11793307705469525,0.0632369372027416,1.669739358076591e-05,0,0,3.381960819571771e-05,0,0,0,-2.6669216966837417e-06,0,5.460079994460396e-06
11242,3,2,0,0.0032839945656890014,2.7377438217727776e-05,0,0,0.24638455336900655,0,0.2418120421258113,0,0.00024538469483548805,0,9.569761093590195e-05,5.743781253657745e-05,0.0020838454994073293,0,0,0,0
6811,3,4,0,0,4.8323237482861824e-05,0,0.17781852620343,0.18426743072759363,0,0,3.417093516393668e-06,0.0010591030856968125,3.558801727615218e-05,0.18501996984453833,2.2638835139493248e-05,-1.262991963133021e-06,0.020548043717964176,0,0,0
15231,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6421482112887934,0,0,0,0,0
12543,3,4,0,0,0,0,0,0,0.5352100578918669,0,0,0,0,0,0,0,0,0,0,0
5596,3,2,0,0,0,0,0,0,0,0,0,0,0,0.5984206966226265,0,0,0,0,0,0
13545,3,4,0,0,0,0,0,0.4131153252114196,0,0,0,0,0.00204256499343748,0,0,0,0,0,0,0
41978,3,4,0,0,2.102311792760128e-05,6.563343152882792e-06,0,0.13092719703680314,0.06292049000876805,0,0,0.006086145026414893,0.017668927138016648,0.0034506552714053305,0.1282930709163568,0.13031011670919943,0.019993826883967267,0.0006254356050832903,0,0
8810,3,4,0,0,0.015055288759236037,3.446969898134521e-06,0,0.06860115123846178,0.018831460286725336,0,0.018495736168479136,1.0334766652396626e-05,2.5677150291059225e-05,0.08352690763818135,0.01671428525923311,0.1197620643449465,0.1622716598611461,0,5.313829849746367e-08,0
30529,2,3,0.0730081152742757,0,0,-3.8623493445993306e-06,0.078262543792379,0.08967528560724433,0.10605877082580234,1.2414865986288828e-06,0.0024330522441997657,0.010743877103181506,0,0.09613872953260394,0,2.618293127365051e-06,0.050339295849994935,0,1.0237268911335255e-05,0
58967,2,4,0,0,1.1870233280120127e-05,2.403667998101957e-06,0.10413820021312972,0.106667589091495,0.1026232676338845,0.0005080339148352218,-1.3580259679970529e-05,0,0.0804941105090684,0,0.012020725536228405,0.09227489134234673,0.0015211331066491104,0,0,0
37552,2,4,0,0,0,0,0.2469549994691951,0.24309667888051706,0,0,0,0,0,0,0,0,0.011727857245400894,0,0,0
33128,2,4,0,0,0,0,0,0.18769988972072185,0,0,0,0,0,0.2912151366203841,0,0.0009674518908801243,0.02018313497650027,0,0,0
33420,2,3,0,0,0,0,0,0.06737048675319873,0,0,0,0,0.00013685923180323885,0,0,0,0,0.0005549619743268518,0.43210211676366117,0
34746,2,4,0.001347519252429676,2.346826077362236e-05,0,0,0.15223554444403073,0.15474793043668508,0.15348546751819203,0.10113142759611397,0,0,0,0,2.7426529769137665e-05,5.2741223207066506e-05,0,0,0,0
60144,2,4,1.685156998460405e-05,1.2953547353237788e-05,0,0,0.1422888824731367,0.14220349743592056,0.1409116784363803,0,0,1.0747393742251366e-05,0,0.037652375104869455,0.038338545526933054,0,0,1.3600150067067825e-05,0,6.357230981318862e-06
25726,2,4,0,0,0,0,0,0,0.4725240170445517,0,0,0,0,0,0.027683230813292194,0,0,0,0,0
30713,2,3,0.004360928732988481,0,0.012697488915342477,0,8.145206441889597e-06,0.12465035248444672,0.014916219049901423,2.003426204280509e-05,1.2864234520861653e-05,0.00028779891945527686,-7.181028107960322e-07,0.09364458355622572,0,0.1389433705558925,0.11523255325074773,0,0,0
58535,2,4,0,0,0,0,0,0.2715596652482237,0.26974343960396036,0,0,0,0,0,0,0,0,0,0,0
18312,5,4,0,0,0,0,0,0.032359841198771375,0.4621126090139393,0,0,0,0,0,0,0,0.003064651855733104,0,0,0
53069,5,4,0,0,0.1533614402205509,0,0,0,0.15286186467714977,0.1438512812660314,0,0,0,0,0,0,0,0.013196505755680881,0,0
19135,5,4,0,2.8035616447771293e-05,0,0,0,0.2471457669290114,0.2425206802179976,0.013892377068112048,0.007309063464003079,0,0,3.525365916975853e-05,0.005230451339071955,0.00010348238474567833,0,0,0,2.248623157868558e-06
53643,5,4,0,0,0,0,0,0,0.27584565264879785,0.27607357759519463,0,0,0,-4.74668664974936e-05,0,0,0,0,0,0
54431,5,3,0,0,0.5090435256946102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54071,5,3,0,0,0.5326726243558202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18385,5,4,0,0,0,0,0,0.5294620003030446,0,0,0,0,0,0,0,0,0,0,0,0
54389,5,3,0,0,0.47446141758909915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53068,5,4,0.020498588665298568,0,0.06871750487718066,0.00033790978565827954,0,0.03421290074387043,0.08095437179415704,0.06423741967260733,0.008934023881621638,0.09728817955362978,0.0014621121020407266,0.004294206600460092,0,0.009191852466729466,0.07577362435126972,0.03624462689409368,0,0
18301,5,4,0,0,0,0,0,0.047287208571902564,0.4475753150883287,0,0,0,0,0.002410988171934828,0,0,0.0002316148572058842,0,0,0
23854,1,2,0,0,0,0,0.1338103528288239,0,2.2925953254706506e-05,0.1796144802810435,0,0,-7.685400582712458e-06,1.023435721735948e-05,-6.313939092089073e-06,0.035007672757291275,0.15167382698095858,0,2.284701611370885e-05,0
24576,1,2,0,-1.8160774456362307e-06,0,0,0.12444282764524046,9.669492486442256e-06,0.07006911468111335,0.1027321152862076,0,0.04057907195022759,0.0018464406939249847,0.02300754014369273,0.01636926879830303,-0.0009559596875463751,0.12443255727208533,6.959763759086666e-06,0,0.006665022646916831
23974,1,2,0,0,0,0,0.07332892454760417,0,3.3753162133362e-06,0.12685434789208064,0,4.2883068488798796e-05,0.024296556680571867,0.05446419702786003,0.00011415927875798451,1.698723518313931e-05,0.21916084488989443,0,3.901663385984061e-05,0
24817,1,2,0,0,0,0,0.26076775384907697,0,0.243690759168599,0.03905356724877614,0,0,0,0,-4.5134857097968816e-05,0,0,-5.31860087191525e-06,0,0
23810,1,3,0,0,0,0,0.4838712208347279,0,0,0,0,0,0,0,0,0,0.016611322122311083,0,0,0
25052,1,2,0,0,0,0,0.4098427619440366,0,0,0.08227849797884851,0,0,0,0.006594021207067091,0,0,0.0005484254808897722,0,0,0
23765,1,3,0,0,0,0,0.4563933257223972,0,0,0,0,0.021389135671917324,0,0,0,0,0,0,0,0
23992,1,2,0,0,0,0,0.32614503988345506,5.720939599029609e-05,0,0.14591834540510837,0,0,0,0,0,0,0.007056303829077163,0,0,0
25140,1,2,0,0,0,0,0.4729996211532397,0,0,0,0,0,0,0.00033522571781805785,0,0,0.016826308903957216,0,0,0
25325,1,2,0,0,-1.1452365054640906e-05,0,0.12202079104040303,0.13210464232859812,0,0.06652207041969901,7.147505776224169e-06,0.11130137314572873,0.0030610363016474024,0.02608095979813295,6.5909668928533356e-06,1.1043456709250905e-05,0.041210798714358815,2.6465203465898046e-06,0,0
48705,4,2,7.440147539419242e-06,0,-6.375126309711554e-06,0,0.12873490633767792,0.1286619848483831,0.12031898551534778,0.12208756786779543,0,2.427583314858554e-05,4.2023688352743364e-05,0,0.008030283598593611,-1.0419310616325463e-05,0,0,0.02187724458997957,8.953732166175026e-06
48135,4,2,0.10524536393935763,0.05588300753569157,0,0,0.14348966295802124,6.023594081417308e-08,0.1483675804520787,0,0,0,-2.47486830222471e-05,0,6.626054732164734e-06,0.008464035334394786,0.02000275939479749,0,0.023128800031476854,5.0883098790492185e-06
55733,4,3,0,0,0,0,0.4764153623499271,0,0,0,0.020176325636118243,0,0,0.001580865232968617,0,0,0,0,0,0
1795,4,3,0,0,0.21641465948909117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031981401925705866,0
44656,4,3,0.1709409199811744,0,0,0,0,0,0.17779466881803027,0.17344703675595724,0,0,0,0,-2.1603411912879724e-05,0,0,0,0,0
20506,4,3,0,0,0,0,0,0,0.44960277015270544,0.04686786296200435,0,0,0,0,0,0,0.00020073237685110454,0,0,0
